trading_date,open,high,low,close,range_pips,return_pips,day_name,dow,week_key
2000-07-06,0.9532,0.9598,0.95,0.9505,98.00000000000031,-27.000000000000355,Thursday,3,2000-W27
2000-07-07,0.9509,0.9526,0.9459,0.9476,67.0000000000004,-32.999999999999694,Friday,4,2000-W27
2000-07-10,0.9494,0.9557,0.9481,0.9556,75.9999999999994,61.99999999999983,Monday,0,2000-W28
2000-07-11,0.9555,0.9569,0.9496,0.9531,72.99999999999973,-24.00000000000069,Tuesday,1,2000-W28
2000-07-12,0.953,0.953,0.9396,0.9428,133.9999999999997,-101.99999999999987,Wednesday,2,2000-W28
2000-07-13,0.9426,0.9429,0.933,0.9375,98.99999999999909,-50.999999999999936,Thursday,3,2000-W28
2000-07-14,0.9374,0.9389,0.9318,0.9388,70.99999999999996,13.999999999999568,Friday,4,2000-W28
2000-07-17,0.9384,0.9402,0.9342,0.9372,60.00000000000006,-11.999999999999789,Monday,0,2000-W29
2000-07-18,0.9371,0.9372,0.9227,0.9251,145.00000000000068,-120.00000000000011,Tuesday,1,2000-W29
2000-07-19,0.9242,0.9263,0.9193,0.9247,70.00000000000006,4.999999999999449,Wednesday,2,2000-W29
2000-07-20,0.9248,0.9342,0.9204,0.9334,138.00000000000034,86.00000000000053,Thursday,3,2000-W29
2000-07-21,0.9333,0.9384,0.9319,0.9365,65.00000000000061,31.999999999999808,Friday,4,2000-W29
2000-07-24,0.9364,0.9378,0.9313,0.9339,64.9999999999995,-25.000000000000576,Monday,0,2000-W30
2000-07-25,0.9338,0.9433,0.9324,0.9389,109.00000000000021,50.999999999999936,Tuesday,1,2000-W30
2000-07-26,0.9388,0.945,0.9381,0.9431,68.99999999999906,43.00000000000082,Wednesday,2,2000-W30
2000-07-27,0.9433,0.9444,0.9318,0.9322,126.00000000000055,-110.99999999999999,Thursday,3,2000-W30
2000-07-28,0.9321,0.9338,0.9229,0.9239,108.99999999999909,-81.99999999999986,Friday,4,2000-W30
2000-07-31,0.9239,0.9295,0.9224,0.9271,70.99999999999996,31.999999999999808,Monday,0,2000-W31
2000-08-01,0.9269,0.9293,0.9135,0.9148,158.00000000000037,-121.0,Tuesday,1,2000-W31
2000-08-02,0.9147,0.9192,0.9117,0.9138,75.00000000000063,-9.000000000000119,Wednesday,2,2000-W31
2000-08-03,0.9137,0.9174,0.8997,0.9064,176.99999999999937,-72.99999999999973,Thursday,3,2000-W31
2000-08-04,0.9066,0.9103,0.9015,0.908,88.0000000000003,14.000000000000679,Friday,4,2000-W31
2000-08-07,0.9075,0.9114,0.9055,0.9073,59.00000000000016,-1.9999999999997797,Monday,0,2000-W32
2000-08-08,0.9074,0.9088,0.8982,0.9024,106.00000000000054,-50.00000000000004,Tuesday,1,2000-W32
2000-08-09,0.9023,0.9033,0.8965,0.9009,68.00000000000028,-13.999999999999568,Wednesday,2,2000-W32
2000-08-10,0.9009,0.9098,0.9007,0.9086,91.00000000000108,76.99999999999929,Thursday,3,2000-W32
2000-08-11,0.9085,0.9145,0.9027,0.9033,118.00000000000033,-51.99999999999982,Friday,4,2000-W32
2000-08-14,0.9037,0.907,0.9007,0.9063,63.00000000000083,26.00000000000047,Monday,0,2000-W33
2000-08-15,0.9062,0.9142,0.9057,0.9138,85.00000000000063,75.9999999999994,Tuesday,1,2000-W33
2000-08-16,0.9136,0.9177,0.9066,0.9164,110.99999999999999,28.00000000000025,Wednesday,2,2000-W33
2000-08-17,0.9165,0.918,0.9119,0.9164,60.99999999999994,-0.9999999999998899,Thursday,3,2000-W33
2000-08-18,0.9165,0.9184,0.9059,0.9067,124.99999999999956,-98.00000000000031,Friday,4,2000-W33
2000-08-21,0.9077,0.9079,0.9013,0.9018,66.0000000000005,-58.999999999999055,Monday,0,2000-W34
2000-08-22,0.9017,0.9035,0.8944,0.8966,90.99999999999997,-50.999999999999936,Tuesday,1,2000-W34
2000-08-23,0.8966,0.9022,0.8912,0.9019,110.0000000000001,53.000000000000824,Wednesday,2,2000-W34
2000-08-24,0.902,0.9055,0.8996,0.9023,59.00000000000016,2.9999999999996696,Thursday,3,2000-W34
2000-08-25,0.9024,0.9075,0.8979,0.9024,95.99999999999942,0.0,Friday,4,2000-W34
2000-08-28,0.9037,0.9045,0.8988,0.9003,56.999999999999275,-33.99999999999959,Monday,0,2000-W35
2000-08-29,0.9003,0.9023,0.8916,0.8924,107.00000000000043,-79.00000000000018,Tuesday,1,2000-W35
2000-08-30,0.8923,0.8951,0.8872,0.8943,79.00000000000018,20.000000000000018,Wednesday,2,2000-W35
2000-08-31,0.8942,0.8975,0.8841,0.8882,133.9999999999997,-60.00000000000006,Thursday,3,2000-W35
2000-09-01,0.8883,0.9017,0.8877,0.8994,139.999999999999,110.99999999999999,Friday,4,2000-W35
2000-09-04,0.8999,0.904,0.8987,0.8996,52.999999999999716,-3.00000000000078,Monday,0,2000-W36
2000-09-05,0.8984,0.8994,0.8851,0.8897,142.9999999999998,-86.9999999999993,Tuesday,1,2000-W36
2000-09-06,0.8896,0.891,0.869,0.8705,220.0000000000002,-190.99999999999895,Wednesday,2,2000-W36
2000-09-07,0.8704,0.8766,0.8639,0.8715,127.00000000000044,11.000000000001009,Thursday,3,2000-W36
2000-09-08,0.8716,0.8747,0.8641,0.8686,106.00000000000054,-30.00000000000003,Friday,4,2000-W36
2000-09-11,0.8648,0.8726,0.8571,0.8576,155.00000000000068,-71.99999999999984,Monday,0,2000-W37
2000-09-12,0.8574,0.8691,0.856,0.8644,131.0,69.99999999999895,Tuesday,1,2000-W37
2000-09-13,0.8645,0.8706,0.8581,0.8594,125.00000000000067,-50.999999999999936,Wednesday,2,2000-W37
2000-09-14,0.8593,0.8722,0.8565,0.8646,156.99999999999937,53.000000000000824,Thursday,3,2000-W37
2000-09-15,0.8647,0.8705,0.8527,0.8535,178.00000000000037,-111.99999999999987,Friday,4,2000-W37
2000-09-18,0.8537,0.8574,0.8513,0.854,61.00000000000105,2.9999999999996696,Monday,0,2000-W38
2000-09-19,0.8539,0.8567,0.848,0.8511,87.00000000000041,-28.00000000000025,Tuesday,1,2000-W38
2000-09-20,0.8512,0.8522,0.8443,0.8494,78.99999999999908,-17.999999999999126,Wednesday,2,2000-W38
2000-09-21,0.8493,0.8604,0.8462,0.8604,142.00000000000102,110.99999999999999,Thursday,3,2000-W38
2000-09-22,0.8605,0.895,0.8581,0.8774,369.00000000000045,168.99999999999915,Friday,4,2000-W38
2000-09-25,0.8809,0.883,0.8713,0.8754,117.00000000000044,-55.000000000000604,Monday,0,2000-W39
2000-09-26,0.8755,0.8841,0.8731,0.8829,110.0000000000001,74.00000000000074,Tuesday,1,2000-W39
2000-09-27,0.883,0.8886,0.8784,0.8836,101.99999999999987,6.000000000000449,Wednesday,2,2000-W39
2000-09-28,0.8837,0.8866,0.8775,0.879,91.00000000000108,-47.00000000000038,Thursday,3,2000-W39
2000-09-29,0.8789,0.8852,0.8752,0.8835,100.00000000000009,45.999999999999375,Friday,4,2000-W39
2000-10-02,0.8841,0.8861,0.8763,0.8774,98.00000000000031,-67.0000000000004,Monday,0,2000-W40
2000-10-03,0.8775,0.8791,0.8733,0.8761,58.00000000000027,-13.999999999999568,Tuesday,1,2000-W40
2000-10-04,0.876,0.878,0.8719,0.875,60.99999999999994,-10.000000000000009,Wednesday,2,2000-W40
2000-10-05,0.8751,0.879,0.8681,0.8693,109.00000000000021,-58.00000000000027,Thursday,3,2000-W40
2000-10-06,0.8694,0.8743,0.8672,0.8675,70.99999999999996,-18.99999999999902,Friday,4,2000-W40
2000-10-09,0.8689,0.871,0.8685,0.8693,24.999999999999467,3.9999999999995595,Monday,0,2000-W41
2000-10-10,0.8679,0.8747,0.8665,0.872,81.99999999999986,40.99999999999993,Tuesday,1,2000-W41
2000-10-11,0.8719,0.8764,0.8679,0.8685,84.99999999999952,-33.99999999999959,Wednesday,2,2000-W41
2000-10-12,0.8685,0.8685,0.8613,0.8632,72.00000000000095,-53.000000000000824,Thursday,3,2000-W41
2000-10-13,0.8632,0.866,0.853,0.8539,130.0000000000001,-92.99999999999974,Friday,4,2000-W41
2000-10-16,0.8545,0.8561,0.8462,0.8498,99.0000000000002,-47.00000000000038,Monday,0,2000-W42
2000-10-17,0.8497,0.8565,0.848,0.8546,85.00000000000063,49.000000000000156,Tuesday,1,2000-W42
2000-10-18,0.8545,0.8579,0.8327,0.8385,252.0,-160.00000000000014,Wednesday,2,2000-W42
2000-10-19,0.839,0.8446,0.8382,0.8435,64.00000000000072,45.0000000000006,Thursday,3,2000-W42
2000-10-20,0.8436,0.8487,0.8351,0.842,136.00000000000057,-16.00000000000046,Friday,4,2000-W42
2000-10-23,0.8406,0.8426,0.8351,0.8363,75.00000000000063,-42.9999999999997,Monday,0,2000-W43
2000-10-24,0.8362,0.84,0.8345,0.8361,54.999999999999496,-1.000000000001,Tuesday,1,2000-W43
2000-10-25,0.8362,0.8389,0.8249,0.8271,140.0000000000001,-91.00000000000108,Wednesday,2,2000-W43
2000-10-26,0.827,0.8325,0.8229,0.8299,96.00000000000053,29.000000000000135,Thursday,3,2000-W43
2000-10-27,0.83,0.8446,0.829,0.8395,156.00000000000057,95.00000000000064,Friday,4,2000-W43
2000-10-30,0.8395,0.853,0.8395,0.8409,134.99999999999957,13.999999999999568,Monday,0,2000-W44
2000-10-31,0.8411,0.85,0.8388,0.849,111.99999999999987,79.00000000000018,Tuesday,1,2000-W44
2000-11-01,0.8489,0.862,0.8473,0.8617,146.99999999999935,128.00000000000034,Wednesday,2,2000-W44
2000-11-02,0.8616,0.8668,0.8558,0.8586,110.0000000000001,-30.00000000000003,Thursday,3,2000-W44
2000-11-03,0.8587,0.877,0.8575,0.8668,194.99999999999963,80.99999999999996,Friday,4,2000-W44
2000-11-06,0.8669,0.8734,0.8548,0.8622,185.9999999999995,-47.00000000000038,Monday,0,2000-W45
2000-11-07,0.8621,0.8663,0.8579,0.8601,83.99999999999963,-20.000000000000018,Tuesday,1,2000-W45
2000-11-08,0.8602,0.8698,0.8522,0.8555,176.0000000000006,-46.99999999999926,Wednesday,2,2000-W45
2000-11-09,0.8556,0.8679,0.8521,0.8676,158.00000000000037,120.00000000000011,Thursday,3,2000-W45
2000-11-10,0.8675,0.8708,0.8591,0.8599,117.00000000000044,-76.00000000000051,Friday,4,2000-W45
2000-11-13,0.8625,0.8667,0.856,0.8572,107.00000000000043,-53.000000000000824,Monday,0,2000-W46
2000-11-14,0.8573,0.8618,0.8549,0.8581,69.00000000000017,8.00000000000023,Tuesday,1,2000-W46
2000-11-15,0.858,0.8634,0.8553,0.8573,80.99999999999996,-7.000000000000339,Wednesday,2,2000-W46
2000-11-16,0.8574,0.86,0.8512,0.8533,88.0000000000003,-41.00000000000104,Thursday,3,2000-W46
2000-11-17,0.8535,0.8579,0.8475,0.8482,103.99999999999964,-53.000000000000824,Friday,4,2000-W46
2000-11-20,0.8493,0.8523,0.8465,0.8512,57.99999999999916,18.99999999999902,Monday,0,2000-W47
2000-11-21,0.8511,0.8536,0.8418,0.8437,118.00000000000033,-73.99999999999962,Tuesday,1,2000-W47
2000-11-22,0.8439,0.8486,0.8419,0.8422,67.0000000000004,-17.000000000000348,Wednesday,2,2000-W47
2000-11-23,0.8422,0.8458,0.8387,0.8391,70.99999999999996,-30.999999999999915,Thursday,3,2000-W47
2000-11-24,0.8399,0.8454,0.8377,0.8398,77.0000000000004,-0.9999999999998899,Friday,4,2000-W47
2000-11-27,0.8396,0.8527,0.839,0.8526,137.00000000000045,130.0000000000001,Monday,0,2000-W48
2000-11-28,0.8523,0.8582,0.8506,0.8567,75.9999999999994,44.0000000000007,Tuesday,1,2000-W48
2000-11-29,0.8566,0.8661,0.8558,0.8578,102.99999999999976,11.999999999999789,Wednesday,2,2000-W48
2000-11-30,0.8579,0.874,0.857,0.8733,170.00000000000014,153.9999999999997,Thursday,3,2000-W48
2000-12-01,0.8732,0.8795,0.8705,0.879,89.99999999999898,58.00000000000027,Friday,4,2000-W48
2000-12-04,0.8787,0.8933,0.8759,0.8875,173.99999999999972,87.99999999999919,Monday,0,2000-W49
2000-12-05,0.8876,0.8908,0.8787,0.8799,121.0,-76.99999999999929,Tuesday,1,2000-W49
2000-12-06,0.8798,0.8926,0.8773,0.8925,152.9999999999998,126.99999999999933,Wednesday,2,2000-W49
2000-12-07,0.8924,0.8976,0.8858,0.8895,117.99999999999922,-29.000000000000135,Thursday,3,2000-W49
2000-12-08,0.8896,0.8917,0.881,0.8879,107.00000000000043,-16.99999999999924,Friday,4,2000-W49
2000-12-11,0.8827,0.8866,0.8751,0.8775,115.00000000000065,-52.00000000000094,Monday,0,2000-W50
2000-12-12,0.8773,0.884,0.8754,0.8799,86.00000000000053,26.00000000000047,Tuesday,1,2000-W50
2000-12-13,0.8798,0.883,0.8719,0.8772,110.99999999999999,-26.00000000000047,Wednesday,2,2000-W50
2000-12-14,0.8771,0.893,0.8754,0.8928,176.0000000000006,157.00000000000048,Thursday,3,2000-W50
2000-12-15,0.8929,0.9001,0.8905,0.8953,96.00000000000053,23.999999999999577,Friday,4,2000-W50
2000-12-18,0.8951,0.9019,0.8924,0.8953,95.00000000000064,1.9999999999997797,Monday,0,2000-W51
2000-12-19,0.8954,0.897,0.8883,0.8957,87.00000000000041,3.00000000000078,Tuesday,1,2000-W51
2000-12-20,0.8955,0.9101,0.895,0.9098,151.00000000000003,143.0000000000009,Wednesday,2,2000-W51
2000-12-21,0.9097,0.9171,0.9062,0.9166,109.00000000000021,69.00000000000017,Thursday,3,2000-W51
2000-12-22,0.9167,0.926,0.9149,0.923,110.99999999999999,63.00000000000083,Friday,4,2000-W51
2000-12-26,0.9296,0.9327,0.9271,0.9309,55.99999999999938,12.999999999999678,Tuesday,1,2000-W52
2000-12-27,0.931,0.934,0.9275,0.9313,65.00000000000061,2.9999999999996696,Wednesday,2,2000-W52
2000-12-28,0.9312,0.9321,0.9249,0.9299,71.99999999999984,-13.000000000000789,Thursday,3,2000-W52
2000-12-29,0.93,0.9391,0.9284,0.9373,107.00000000000043,72.99999999999973,Friday,4,2000-W52
2001-01-02,0.947,0.9521,0.9393,0.9513,127.99999999999923,43.00000000000082,Tuesday,1,2001-W01
2001-01-03,0.9512,0.9572,0.9271,0.9274,301.00000000000017,-238.00000000000043,Wednesday,2,2001-W01
2001-01-04,0.9272,0.9519,0.9269,0.9503,250.00000000000023,231.00000000000009,Thursday,3,2001-W01
2001-01-05,0.9501,0.9599,0.9468,0.958,131.0,79.00000000000018,Friday,4,2001-W01
2001-01-08,0.9588,0.9595,0.9468,0.9472,127.00000000000044,-115.99999999999943,Monday,0,2001-W02
2001-01-09,0.9471,0.948,0.9389,0.944,90.99999999999997,-31.000000000001027,Tuesday,1,2001-W02
2001-01-10,0.9441,0.9467,0.9365,0.9368,101.99999999999987,-73.00000000000084,Wednesday,2,2001-W02
2001-01-11,0.9367,0.9413,0.9367,0.94,46.00000000000048,32.999999999999694,Thursday,3,2001-W02
2001-01-22,0.9354,0.9406,0.927,0.939,135.99999999999946,35.99999999999937,Monday,0,2001-W04
2001-01-23,0.9389,0.9451,0.9364,0.9365,87.00000000000041,-23.999999999999577,Tuesday,1,2001-W04
2001-01-24,0.937,0.9374,0.9213,0.922,161.00000000000003,-150.00000000000014,Wednesday,2,2001-W04
2001-01-25,0.9219,0.9252,0.9117,0.9241,135.00000000000068,21.999999999999797,Thursday,3,2001-W04
2001-01-26,0.9238,0.9318,0.9201,0.9238,116.99999999999933,0.0,Friday,4,2001-W04
2001-01-29,0.924,0.9264,0.9163,0.917,100.99999999999997,-70.00000000000006,Monday,0,2001-W05
2001-01-30,0.9172,0.928,0.9147,0.9268,133.0000000000009,95.99999999999942,Tuesday,1,2001-W05
2001-01-31,0.9269,0.9374,0.9258,0.937,116.00000000000054,101.0000000000011,Wednesday,2,2001-W05
2001-02-01,0.9371,0.9447,0.9365,0.9383,81.99999999999986,11.999999999999789,Thursday,3,2001-W05
2001-02-02,0.9382,0.9421,0.9318,0.9364,103.00000000000087,-18.000000000000238,Friday,4,2001-W05
2001-02-05,0.9366,0.9439,0.9366,0.9378,72.99999999999973,11.999999999999789,Monday,0,2001-W06
2001-02-06,0.9379,0.9389,0.9285,0.9316,103.99999999999964,-62.99999999999972,Tuesday,1,2001-W06
2001-02-07,0.9317,0.9352,0.9261,0.9285,90.99999999999997,-31.999999999999808,Wednesday,2,2001-W06
2001-02-08,0.9284,0.9303,0.9153,0.918,150.00000000000014,-103.99999999999964,Thursday,3,2001-W06
2001-02-09,0.9182,0.9278,0.9135,0.924,142.9999999999998,58.00000000000027,Friday,4,2001-W06
2001-02-12,0.925,0.9331,0.925,0.9315,80.99999999999996,64.9999999999995,Monday,0,2001-W07
2001-02-13,0.9314,0.9332,0.9174,0.9205,158.00000000000037,-109.00000000000021,Tuesday,1,2001-W07
2001-02-14,0.9206,0.9222,0.917,0.9181,51.99999999999982,-24.999999999999467,Wednesday,2,2001-W07
2001-02-15,0.918,0.9198,0.9029,0.905,168.99999999999915,-130.0000000000001,Thursday,3,2001-W07
2001-02-16,0.9049,0.9182,0.9048,0.9167,133.9999999999997,117.99999999999922,Friday,4,2001-W07
2001-02-19,0.9127,0.9238,0.9125,0.9217,112.99999999999977,90.00000000000009,Monday,0,2001-W08
2001-02-20,0.9215,0.9242,0.9055,0.9125,187.0000000000005,-90.00000000000009,Tuesday,1,2001-W08
2001-02-21,0.9125,0.9184,0.906,0.9094,123.99999999999966,-30.999999999999915,Wednesday,2,2001-W08
2001-02-22,0.9095,0.9133,0.9018,0.9044,114.99999999999955,-50.999999999999936,Thursday,3,2001-W08
2001-02-23,0.9043,0.9213,0.903,0.9173,182.99999999999983,130.0000000000001,Friday,4,2001-W08
2001-02-26,0.9179,0.9189,0.9083,0.9102,106.00000000000054,-77.0000000000004,Monday,0,2001-W09
2001-02-27,0.9103,0.9208,0.9085,0.9189,122.99999999999977,86.00000000000053,Tuesday,1,2001-W09
2001-02-28,0.9188,0.9258,0.9164,0.924,93.99999999999964,52.00000000000094,Wednesday,2,2001-W09
2001-03-01,0.9241,0.9323,0.9227,0.9303,96.00000000000053,61.99999999999983,Thursday,3,2001-W09
2001-03-02,0.9304,0.9383,0.9293,0.9354,90.00000000000009,50.00000000000004,Friday,4,2001-W09
2001-03-05,0.9355,0.9359,0.9284,0.9287,74.99999999999952,-68.00000000000028,Monday,0,2001-W10
2001-03-06,0.9289,0.9349,0.9254,0.9343,94.99999999999953,54.00000000000071,Tuesday,1,2001-W10
2001-03-07,0.9342,0.9371,0.9265,0.9296,106.00000000000054,-46.00000000000048,Wednesday,2,2001-W10
2001-03-08,0.9295,0.9342,0.9276,0.9328,66.0000000000005,32.999999999999694,Thursday,3,2001-W10
2001-03-09,0.9326,0.9376,0.9296,0.9329,80.00000000000007,2.9999999999996696,Friday,4,2001-W10
2001-03-12,0.9322,0.9342,0.926,0.9282,81.99999999999986,-40.000000000000036,Monday,0,2001-W11
2001-03-13,0.9283,0.9303,0.9134,0.9152,169.00000000000026,-131.0,Tuesday,1,2001-W11
2001-03-14,0.9153,0.9212,0.908,0.9118,131.9999999999999,-34.999999999999474,Wednesday,2,2001-W11
2001-03-15,0.9119,0.9132,0.8958,0.897,173.99999999999972,-149.00000000000026,Thursday,3,2001-W11
2001-03-16,0.8969,0.9005,0.8915,0.8974,90.00000000000009,4.999999999999449,Friday,4,2001-W11
2001-03-19,0.8973,0.9024,0.8935,0.8992,89.00000000000018,19.000000000000128,Monday,0,2001-W12
2001-03-20,0.8992,0.9099,0.8991,0.9098,108.00000000000031,106.00000000000054,Tuesday,1,2001-W12
2001-03-21,0.9097,0.9132,0.8936,0.8964,196.00000000000063,-132.99999999999977,Wednesday,2,2001-W12
2001-03-22,0.8963,0.8969,0.8833,0.8892,136.00000000000057,-70.99999999999996,Thursday,3,2001-W12
2001-03-23,0.8895,0.897,0.8854,0.89,116.00000000000054,5.0000000000005596,Friday,4,2001-W12
2001-03-26,0.8891,0.8975,0.8888,0.8965,86.9999999999993,73.99999999999962,Monday,0,2001-W13
2001-03-27,0.8964,0.8993,0.8899,0.8935,93.99999999999964,-29.000000000000135,Tuesday,1,2001-W13
2001-03-28,0.8934,0.8949,0.8848,0.8864,100.99999999999997,-70.00000000000006,Wednesday,2,2001-W13
2001-03-29,0.8863,0.8886,0.88,0.8836,85.9999999999994,-26.999999999999247,Thursday,3,2001-W13
2001-03-30,0.8835,0.8865,0.8757,0.8795,107.9999999999992,-40.000000000000036,Friday,4,2001-W13
2001-04-02,0.8758,0.8837,0.8745,0.8801,91.99999999999986,42.9999999999997,Monday,0,2001-W14
2001-04-03,0.88,0.8983,0.8793,0.8979,190.00000000000017,179.00000000000028,Tuesday,1,2001-W14
2001-04-04,0.898,0.9052,0.8937,0.9016,114.99999999999955,35.99999999999937,Wednesday,2,2001-W14
2001-04-05,0.9017,0.9091,0.8943,0.8967,148.00000000000034,-49.999999999998934,Thursday,3,2001-W14
2001-04-06,0.8968,0.9051,0.8927,0.9042,123.99999999999966,73.99999999999962,Friday,4,2001-W14
2001-04-09,0.9039,0.9051,0.8966,0.8972,85.00000000000063,-67.0000000000004,Monday,0,2001-W15
2001-04-10,0.8971,0.8995,0.8868,0.8891,126.99999999999933,-80.00000000000007,Tuesday,1,2001-W15
2001-04-11,0.889,0.8918,0.8814,0.8887,104.00000000000075,-2.9999999999996696,Wednesday,2,2001-W15
2001-04-12,0.8889,0.8946,0.884,0.892,105.99999999999943,30.999999999999915,Thursday,3,2001-W15
2001-04-13,0.8924,0.8938,0.8891,0.8894,47.00000000000038,-30.00000000000003,Friday,4,2001-W15
2001-04-16,0.885,0.889,0.8834,0.8889,56.0000000000005,39.00000000000014,Monday,0,2001-W16
2001-04-17,0.889,0.8912,0.878,0.8836,131.9999999999999,-53.9999999999996,Tuesday,1,2001-W16
2001-04-18,0.8837,0.8903,0.8719,0.8824,183.99999999999972,-13.000000000000789,Wednesday,2,2001-W16
2001-04-19,0.8823,0.8986,0.8809,0.8973,176.99999999999937,150.00000000000014,Thursday,3,2001-W16
2001-04-20,0.8973,0.9049,0.8956,0.9023,93.00000000000085,50.00000000000004,Friday,4,2001-W16
2001-04-23,0.9028,0.9083,0.8948,0.8982,134.99999999999957,-46.00000000000048,Monday,0,2001-W17
2001-04-24,0.8981,0.9022,0.8935,0.8942,87.00000000000041,-39.00000000000014,Tuesday,1,2001-W17
2001-04-25,0.8941,0.9004,0.891,0.8973,93.99999999999964,31.999999999999808,Wednesday,2,2001-W17
2001-04-26,0.8974,0.9047,0.895,0.9035,96.9999999999993,60.99999999999994,Thursday,3,2001-W17
2001-04-27,0.9036,0.9058,0.8891,0.8909,167.00000000000048,-126.99999999999933,Friday,4,2001-W17
2001-04-30,0.8916,0.8928,0.8854,0.8873,74.00000000000074,-42.9999999999997,Monday,0,2001-W18
2001-05-01,0.8872,0.8944,0.8858,0.8935,85.9999999999994,62.99999999999972,Tuesday,1,2001-W18
2001-05-02,0.8934,0.8952,0.8889,0.8947,62.99999999999972,13.000000000000789,Wednesday,2,2001-W18
2001-05-03,0.8948,0.8982,0.8881,0.8902,100.99999999999997,-46.00000000000048,Thursday,3,2001-W18
2001-05-04,0.8903,0.901,0.8894,0.8936,116.00000000000054,32.999999999999694,Friday,4,2001-W18
2001-05-07,0.8928,0.8937,0.8902,0.8909,35.00000000000058,-19.000000000000128,Monday,0,2001-W19
2001-05-08,0.8908,0.8917,0.8827,0.8852,90.00000000000009,-56.0000000000005,Tuesday,1,2001-W19
2001-05-09,0.8851,0.8864,0.8814,0.8863,50.00000000000004,11.999999999999789,Wednesday,2,2001-W19
2001-05-10,0.8862,0.8932,0.8782,0.8818,150.00000000000014,-43.999999999999595,Thursday,3,2001-W19
2001-05-11,0.8816,0.8821,0.8738,0.8768,82.99999999999974,-48.00000000000026,Friday,4,2001-W19
2001-05-14,0.8755,0.8761,0.8728,0.8743,32.999999999999694,-11.999999999999789,Monday,0,2001-W20
2001-05-15,0.8744,0.8803,0.874,0.8789,62.99999999999972,45.0000000000006,Tuesday,1,2001-W20
2001-05-16,0.8788,0.8869,0.875,0.8835,119.00000000000021,46.99999999999926,Wednesday,2,2001-W20
2001-05-17,0.8834,0.8883,0.8795,0.8831,88.0000000000003,-2.9999999999996696,Thursday,3,2001-W20
2001-05-18,0.883,0.8834,0.8758,0.8806,75.9999999999994,-23.999999999999577,Friday,4,2001-W20
2001-05-21,0.8805,0.8819,0.8743,0.8775,76.00000000000051,-30.00000000000003,Monday,0,2001-W21
2001-05-22,0.8774,0.8776,0.863,0.865,146.00000000000057,-123.99999999999966,Tuesday,1,2001-W21
2001-05-23,0.8651,0.8663,0.8551,0.8571,111.99999999999987,-80.00000000000007,Wednesday,2,2001-W21
