week_key,case,monday_low,monday_high,monday_close,monday_range,week_range,tuesday_close,tuesday_return_pips,tuesday_direction,week_low_price,week_high_price,confirms_bullish,confirms_bearish
2013-W03,HOTW_Monday,1.33355,1.34031,1.33814,67.59999999999877,147.19999999999845,1.33045,-76.90000000000197,DOWN,1.32559,1.34031,,True
2013-W06,HOTW_Monday,1.35045,1.36591,1.35125,154.6000000000003,306.5000000000007,1.35825,69.99999999999895,UP,1.33526,1.36591,,False
2013-W09,HOTW_Monday,1.30471,1.3318,1.30616,270.9000000000006,352.2000000000003,1.306,-1.5999999999993797,DOWN,1.29658,1.3318,,True
2013-W13,HOTW_Monday,1.28292,1.30473,1.28521,218.09999999999886,296.7999999999993,1.28598,7.699999999999374,UP,1.27505,1.30473,,False
2013-W15,LOTW_Monday,1.29676,1.3037,1.30077,69.40000000000168,169.9000000000006,1.30814,73.70000000000098,UP,1.29676,1.31375,True,
2013-W18,LOTW_Monday,1.30312,1.31158,1.3098,84.59999999999911,210.90000000000055,1.3167,68.99999999999906,UP,1.30312,1.32421,True,
2013-W21,LOTW_Monday,1.28188,1.29002,1.28819,81.40000000000036,178.50000000000142,1.29053,23.400000000000087,UP,1.28188,1.29973,True,
2013-W23,LOTW_Monday,1.29547,1.31067,1.30756,152.00000000000102,350.2000000000005,1.308,4.3999999999999595,UP,1.29547,1.33049,True,
2013-W24,LOTW_Monday,1.31768,1.32684,1.32567,91.60000000000056,212.60000000000056,1.33124,55.70000000000075,UP,1.31768,1.33894,True,
2013-W29,LOTW_Monday,1.29927,1.30796,1.30611,86.90000000000086,184.90000000000117,1.31616,100.49999999999892,UP,1.29927,1.31776,True,
2013-W30,LOTW_Monday,1.31352,1.32174,1.31853,82.19999999999894,161.00000000000003,1.32219,36.599999999999966,UP,1.31352,1.32962,True,
2013-W32,LOTW_Monday,1.32322,1.32996,1.32578,67.39999999999968,167.2999999999991,1.33034,45.600000000001195,UP,1.32322,1.33995,True,
2013-W36,HOTW_Monday,1.3183,1.32265,1.31906,43.50000000000076,122.50000000000094,1.317,-20.599999999999508,DOWN,1.3104,1.32265,,True
2013-W37,LOTW_Monday,1.31626,1.328,1.32545,117.40000000000083,161.5999999999995,1.32666,12.099999999999334,UP,1.31626,1.33242,True,
2013-W40,LOTW_Monday,1.3477,1.35553,1.35256,78.30000000000004,168.30000000000123,1.35252,-0.40000000000040004,DOWN,1.3477,1.36453,False,
2013-W43,LOTW_Monday,1.36504,1.36878,1.36799,37.400000000000766,181.1000000000007,1.37802,100.29999999999984,UP,1.36504,1.38315,True,
2013-W44,HOTW_Monday,1.37744,1.3817,1.37842,42.599999999999305,337.60000000000014,1.37445,-39.70000000000029,DOWN,1.34794,1.3817,,True
2013-W46,LOTW_Monday,1.33439,1.34153,1.34059,71.39999999999924,160.70000000000027,1.34348,28.900000000000592,UP,1.33439,1.35046,True,
2013-W48,LOTW_Monday,1.34895,1.35594,1.35156,69.8999999999983,131.3999999999993,1.35719,56.29999999999802,UP,1.34895,1.36209,True,
2013-W50,LOTW_Monday,1.36935,1.37447,1.37382,51.20000000000013,116.39999999999873,1.37606,22.400000000000198,UP,1.36935,1.38099,True,
2014-W04,LOTW_Monday,1.35069,1.35672,1.35512,60.2999999999998,231.79999999999978,1.35604,9.199999999998099,UP,1.35069,1.37387,True,
2014-W05,HOTW_Monday,1.36526,1.37159,1.36727,63.30000000000169,237.60000000000002,1.36699,-2.80000000000058,DOWN,1.34783,1.37159,,True
2014-W06,LOTW_Monday,1.34763,1.35347,1.35242,58.39999999999846,166.19999999999857,1.35174,-6.800000000000139,DOWN,1.34763,1.36425,False,
2014-W12,HOTW_Monday,1.38783,1.39469,1.3921,68.60000000000088,198.4000000000008,1.39335,12.500000000001954,UP,1.37485,1.39469,,False
2014-W13,HOTW_Monday,1.37596,1.38752,1.38381,115.60000000000015,171.20000000000024,1.38259,-12.199999999999989,DOWN,1.3704,1.38752,,True
2014-W15,LOTW_Monday,1.36955,1.37478,1.37405,52.29999999999846,209.2000000000005,1.37962,55.70000000000075,UP,1.36955,1.39047,True,
2014-W20,HOTW_Monday,1.37486,1.3774,1.37565,25.399999999999867,126.39999999999985,1.37025,-54.00000000000071,DOWN,1.36476,1.3774,,True
2014-W21,HOTW_Monday,1.36922,1.37334,1.37083,41.199999999999015,118.49999999999916,1.37006,-7.699999999999374,DOWN,1.36149,1.37334,,True
2014-W24,HOTW_Monday,1.35818,1.36679,1.35931,86.10000000000007,156.39999999999876,1.35473,-45.80000000000028,DOWN,1.35115,1.36679,,True
2014-W25,LOTW_Monday,1.35124,1.35786,1.35731,66.2000000000007,130.30000000000098,1.35461,-26.999999999999247,DOWN,1.35124,1.36427,False,
2014-W26,LOTW_Monday,1.35732,1.36128,1.36035,39.59999999999964,77.30000000000015,1.36054,1.900000000001345,UP,1.35732,1.36505,True,
2014-W28,LOTW_Monday,1.35752,1.36084,1.36039,33.199999999999896,74.69999999999865,1.36115,7.600000000000939,UP,1.35752,1.36499,True,
2014-W29,HOTW_Monday,1.35968,1.36395,1.36181,42.69999999999996,149.29999999999887,1.35669,-51.20000000000013,DOWN,1.34902,1.36395,,True
2014-W30,HOTW_Monday,1.35123,1.35483,1.3523,36.000000000000476,127.59999999999883,1.34648,-58.20000000000158,DOWN,1.34207,1.35483,,True
2014-W32,HOTW_Monday,1.34087,1.34319,1.34209,23.200000000000998,99.60000000000191,1.33754,-45.50000000000054,DOWN,1.33323,1.34319,,True
2014-W34,HOTW_Monday,1.33522,1.33984,1.33629,46.19999999999847,178.4999999999992,1.33193,-43.5999999999992,DOWN,1.32199,1.33984,,True
2014-W40,HOTW_Monday,1.2663,1.27141,1.26845,51.09999999999948,214.19999999999993,1.26296,-54.89999999999995,DOWN,1.24999,1.27141,,True
2014-W41,LOTW_Monday,1.25083,1.2674,1.26547,165.69999999999973,282.19999999999914,1.26683,13.599999999998058,UP,1.25083,1.27905,True,
2014-W42,LOTW_Monday,1.262,1.27603,1.27512,140.29999999999987,265.99999999999955,1.26575,-93.70000000000101,DOWN,1.262,1.2886,False,
2014-W48,LOTW_Monday,1.23609,1.24446,1.24414,83.69999999999989,170.9000000000005,1.24739,32.49999999999975,UP,1.23609,1.25318,True,
2014-W49,HOTW_Monday,1.24194,1.25066,1.24686,87.20000000000061,235.7000000000009,1.23823,-86.30000000000138,DOWN,1.22709,1.25066,,True
2014-W50,LOTW_Monday,1.2247,1.23438,1.23162,96.80000000000133,248.20000000000064,1.23736,57.40000000000079,UP,1.2247,1.24952,True,
2014-W52,HOTW_Monday,1.22167,1.22724,1.22286,55.70000000000075,107.60000000000103,1.21709,-57.70000000000053,DOWN,1.21648,1.22724,,True
2015-W02,HOTW_Monday,1.18664,1.19763,1.19327,109.90000000000055,222.19999999999908,1.18893,-43.400000000000105,DOWN,1.17541,1.19763,,True
2015-W03,HOTW_Monday,1.17862,1.18709,1.18334,84.69999999999978,410.9000000000007,1.17722,-61.20000000000125,DOWN,1.146,1.18709,,True
2015-W05,LOTW_Monday,1.10978,1.12953,1.12386,197.49999999999935,324.7,1.13805,141.89999999999924,UP,1.10978,1.14225,True,
2015-W06,LOTW_Monday,1.12922,1.1362,1.13411,69.80000000000209,241.8000000000009,1.14785,137.40000000000086,UP,1.12922,1.1534,True,
2015-W07,LOTW_Monday,1.12702,1.13592,1.13231,89.00000000000131,172.90000000000026,1.13202,-2.8999999999990145,DOWN,1.12702,1.14431,False,
2015-W09,HOTW_Monday,1.1295,1.13961,1.13342,101.10000000000063,220.19999999999928,1.13388,4.599999999999049,UP,1.11759,1.13961,,False
2015-W10,HOTW_Monday,1.11599,1.12395,1.11822,79.59999999999967,401.40000000000066,1.11753,-6.900000000000794,DOWN,1.08381,1.12395,,True
2015-W11,HOTW_Monday,1.08227,1.09064,1.0851,83.69999999999989,444.1000000000006,1.06969,-154.09999999999923,DOWN,1.04623,1.09064,,True
2015-W12,LOTW_Monday,1.04697,1.06195,1.05666,149.79999999999993,568.8000000000004,1.05965,29.90000000000048,UP,1.04697,1.10385,True,
2015-W13,LOTW_Monday,1.07673,1.09711,1.09451,203.80000000000064,284.80000000000064,1.09242,-20.900000000001473,DOWN,1.07673,1.10521,False,
2015-W15,HOTW_Monday,1.091,1.10354,1.09219,125.39999999999995,467.69999999999976,1.08144,-107.50000000000037,DOWN,1.05677,1.10354,,True
2015-W16,LOTW_Monday,1.05204,1.0619,1.05668,98.5999999999998,328.1999999999985,1.06543,87.50000000000036,UP,1.05204,1.08486,True,
2015-W18,LOTW_Monday,1.08194,1.09265,1.08908,107.09999999999997,470.50000000000034,1.09798,88.99999999999908,UP,1.08194,1.12899,True,
2015-W20,LOTW_Monday,1.1131,1.12065,1.11547,75.49999999999946,335.700000000001,1.12121,57.40000000000079,UP,1.1131,1.14667,True,
2015-W21,HOTW_Monday,1.12986,1.14494,1.13134,150.7999999999998,447.3000000000016,1.11495,-163.89999999999904,DOWN,1.10021,1.14494,,True
2015-W22,HOTW_Monday,1.09592,1.10095,1.09774,50.3000000000009,190.30000000000103,1.08719,-105.49999999999838,DOWN,1.08192,1.10095,,True
