week_key,high_day_name,high_dow,low_day_name,low_dow,weekly_range,weekly_return,high_first,low_first,same_day,distance,bullish
2002-W40,Thursday,3,Friday,4,128.00000000000034,-22.00000000000091,True,False,False,1,False
2002-W41,Thursday,3,Tuesday,1,163.99999999999972,80.99999999999996,False,True,False,2,True
2002-W42,Monday,0,Thursday,3,192.99999999999983,-158.00000000000037,True,False,False,3,False
2002-W43,Tuesday,1,Monday,0,113.99999999999966,46.00000000000048,False,True,False,1,True
2002-W44,Friday,4,Monday,0,277.9999999999994,201.99999999999994,False,True,False,4,True
2002-W45,Friday,4,Monday,0,212.99999999999875,161.00000000000114,False,True,False,4,True
2002-W46,Monday,0,Friday,4,157.00000000000048,-30.999999999998806,True,False,False,4,False
2002-W47,Tuesday,1,Friday,4,181.00000000000006,-128.00000000000034,True,False,False,3,False
2002-W48,Monday,0,Wednesday,2,91.99999999999986,-11.999999999999789,True,False,False,2,False
2002-W49,Friday,4,Monday,0,265.99999999999955,151.99999999999991,False,True,False,4,True
2002-W50,Friday,4,Wednesday,2,199.00000000000028,136.00000000000057,False,True,False,2,True
2002-W51,Tuesday,1,Monday,0,141.0,31.999999999998696,False,True,False,1,True
2002-W52,Friday,4,Monday,0,225.99999999999955,161.00000000000003,False,True,False,4,True
2003-W01,Wednesday,2,Thursday,3,2309.9999999999986,2080.9999999999995,True,False,False,1,True
2003-W02,Friday,4,Wednesday,2,222.99999999999986,150.99999999999892,False,True,False,2,True
2003-W03,Friday,4,Wednesday,2,174.00000000000082,89.99999999999898,False,True,False,2,True
2003-W04,Friday,4,Tuesday,1,216.00000000000063,162.9999999999998,False,True,False,3,True
2003-W05,Monday,0,Friday,4,184.9999999999996,-62.00000000000205,True,False,False,4,False
2003-W06,Wednesday,2,Monday,0,245.00000000000188,30.000000000001137,False,True,False,2,True
2003-W07,Thursday,3,Tuesday,1,194.00000000000085,-29.000000000001247,False,True,False,2,False
2003-W08,Friday,4,Wednesday,2,182.99999999999983,5.999999999999339,False,True,False,2,True
2003-W09,Thursday,3,Monday,0,128.00000000000145,60.99999999999994,False,True,False,3,True
2003-W10,Friday,4,Monday,0,300.0000000000003,231.99999999999886,False,True,False,4,True
2003-W11,Tuesday,1,Friday,4,394.000000000001,-266.99999999999943,True,False,False,3,False
2003-W12,Monday,0,Friday,4,340.0000000000003,-257.00000000000057,True,False,False,4,False
2003-W13,Friday,4,Monday,0,235.00000000000077,189.99999999999906,False,True,False,4,True
2003-W14,Wednesday,2,Friday,4,276.0000000000007,-67.0000000000015,True,False,False,2,False
2003-W15,Thursday,3,Monday,0,268.99999999999926,60.99999999999994,False,True,False,3,True
2003-W16,Thursday,3,Monday,0,260.0000000000002,139.00000000000023,False,True,False,3,True
2003-W17,Friday,4,Monday,0,228.9999999999992,138.00000000000034,False,True,False,4,True
2003-W18,Thursday,3,Tuesday,1,351.0000000000013,188.99999999999918,False,True,False,2,True
2003-W19,Friday,4,Monday,0,333.99999999999875,257.00000000000057,False,True,False,4,True
2003-W20,Monday,0,Friday,4,253.000000000001,60.00000000000006,True,False,False,4,True
2003-W21,Friday,4,Tuesday,1,212.99999999999875,121.99999999999989,False,True,False,3,True
2003-W22,Tuesday,1,Thursday,3,243.99999999999977,-59.00000000000016,True,False,False,2,False
2003-W23,Thursday,3,Thursday,3,258.00000000000045,-9.999999999998899,False,False,True,0,False
2003-W24,Friday,4,Monday,0,221.00000000000009,156.99999999999824,False,True,False,4,True
2003-W25,Monday,0,Friday,4,379.00000000000045,-279.00000000000034,True,False,False,4,False
2003-W26,Wednesday,2,Friday,4,225.00000000000188,-151.00000000000114,True,False,False,2,False
2003-W27,Tuesday,1,Monday,0,208.99999999999918,44.00000000000182,False,True,False,1,True
2003-W28,Monday,0,Tuesday,1,230.0000000000013,-188.0000000000015,True,False,False,1,False
2003-W29,Tuesday,1,Wednesday,2,223.99999999999974,-24.999999999999467,True,False,False,1,False
2003-W30,Friday,4,Monday,0,306.9999999999995,242.9999999999999,False,True,False,4,True
2003-W31,Tuesday,1,Friday,4,403.9999999999999,-207.9999999999993,True,False,False,3,False
2003-W32,Wednesday,2,Monday,0,164.9999999999996,19.000000000000128,False,True,False,2,True
2003-W34,Monday,0,Friday,4,433.9999999999988,-375.0000000000009,True,False,False,4,False
2003-W35,Friday,4,Tuesday,1,206.00000000000173,128.99999999999912,False,True,False,3,True
2003-W36,Friday,4,Wednesday,2,349.9999999999992,106.99999999999932,False,True,False,2,True
2003-W37,Friday,4,Monday,0,276.0000000000007,181.99999999999994,False,True,False,4,True
2003-W38,Friday,4,Wednesday,2,242.9999999999999,92.00000000000097,False,True,False,2,True
2003-W39,Thursday,3,Monday,0,122.99999999999977,37.00000000000037,False,True,False,3,True
2003-W40,Thursday,3,Monday,0,375.0000000000009,111.99999999999876,False,True,False,3,True
2003-W41,Thursday,3,Monday,0,323.99999999999983,230.99999999999898,False,True,False,3,True
2003-W42,Monday,0,Friday,4,276.99999999999835,-140.0000000000001,True,False,False,4,False
2003-W43,Friday,4,Monday,0,252.99999999999878,70.00000000000117,False,True,False,4,True
2003-W44,Monday,0,Friday,4,186.99999999999937,-158.00000000000037,True,False,False,4,False
2003-W45,Monday,0,Friday,4,242.0,-63.999999999999616,True,False,False,4,False
2003-W46,Friday,4,Tuesday,1,359.00000000000045,258.00000000000045,False,True,False,3,True
2003-W47,Wednesday,2,Monday,0,251.9999999999989,117.00000000000044,False,True,False,2,True
2003-W48,Friday,4,Tuesday,1,263.9999999999998,74.00000000000074,False,True,False,3,True
2003-W49,Friday,4,Monday,0,239.0000000000003,184.9999999999996,False,True,False,4,True
2003-W50,Friday,4,Thursday,3,190.99999999999895,109.00000000000132,False,True,False,1,True
2003-W51,Thursday,3,Monday,0,302.00000000000006,213.00000000000097,False,True,False,3,True
2003-W52,Wednesday,2,Monday,0,120.00000000000011,14.000000000000679,False,True,False,2,True
2004-W02,Friday,4,Thursday,3,306.9999999999995,240.00000000000023,False,True,False,1,True
2004-W03,Monday,0,Friday,4,546.9999999999997,-481.00000000000034,True,False,False,4,False
2004-W04,Friday,4,Monday,0,443.00000000000006,206.9999999999994,False,True,False,4,True
2004-W05,Wednesday,2,Friday,4,357.9999999999983,-114.99999999999844,True,False,False,2,False
2004-W06,Friday,4,Monday,0,332.99999999999886,224.99999999999966,False,True,False,4,True
2004-W07,Friday,4,Monday,0,288.0000000000016,128.99999999999912,False,True,False,4,True
2004-W08,Wednesday,2,Friday,4,433.9999999999988,-226.99999999999943,True,False,False,2,False
2004-W09,Tuesday,1,Friday,4,340.0000000000003,-45.999999999999375,True,False,False,3,False
2004-W10,Monday,0,Wednesday,2,484.9999999999999,-115.00000000000065,True,False,False,2,False
2004-W11,Monday,0,Thursday,3,328.00000000000165,-212.00000000000108,True,False,False,3,False
2004-W12,Thursday,3,Wednesday,2,260.0000000000002,91.00000000000108,False,True,False,1,True
2004-W13,Monday,0,Friday,4,327.99999999999943,-146.99999999999935,True,False,False,4,False
2004-W14,Thursday,3,Monday,0,340.0000000000003,20.999999999999908,False,True,False,3,True
2004-W15,Thursday,3,Tuesday,1,236.00000000000065,-8.00000000000134,False,True,False,2,False
2004-W16,Monday,0,Wednesday,2,228.9999999999992,-95.00000000000064,True,False,False,2,False
2004-W17,Monday,0,Thursday,3,299.0000000000004,-179.00000000000028,True,False,False,3,False
2004-W18,Friday,4,Monday,0,253.000000000001,153.99999999999858,False,True,False,4,True
2004-W19,Wednesday,2,Friday,4,302.99999999999994,-96.00000000000053,True,False,False,2,False
2004-W20,Wednesday,2,Thursday,3,166.99999999999937,6.00000000000156,True,False,False,1,True
2004-W21,Friday,4,Monday,0,192.00000000000105,102.99999999999976,False,True,False,4,True
2004-W22,Friday,4,Monday,0,363.0,229.9999999999991,False,True,False,4,True
2004-W23,Wednesday,2,Friday,4,167.0000000000016,39.00000000000014,True,False,False,2,True
2004-W24,Tuesday,1,Friday,4,384.9999999999998,-312.00000000000114,True,False,False,3,False
2004-W25,Tuesday,1,Monday,0,214.00000000000085,136.99999999999824,False,True,False,1,True
2004-W26,Wednesday,2,Thursday,3,151.00000000000114,32.00000000000092,True,False,False,1,True
2004-W27,Friday,4,Wednesday,2,259.00000000000034,143.9999999999997,False,True,False,2,True
2004-W28,Friday,4,Tuesday,1,160.00000000000014,85.9999999999994,False,True,False,3,True
2004-W29,Friday,4,Tuesday,1,160.00000000000014,36.000000000000476,False,True,False,3,True
2004-W30,Monday,0,Friday,4,372.99999999999886,-339.0000000000004,True,False,False,4,False
2004-W31,Tuesday,1,Thursday,3,197.0000000000005,-81.99999999999986,True,False,False,2,False
2004-W32,Friday,4,Wednesday,2,322.00000000000006,226.99999999999943,False,True,False,2,True
2004-W33,Friday,4,Friday,4,197.0000000000005,83.99999999999963,False,False,True,0,True
2004-W34,Tuesday,1,Friday,4,111.0000000000011,-65.99999999999939,True,False,False,3,False
2004-W35,Monday,0,Friday,4,314.99999999999864,-306.9999999999995,True,False,False,4,False
2004-W36,Wednesday,2,Monday,0,231.99999999999886,40.99999999999993,False,True,False,2,True
2004-W37,Friday,4,Wednesday,2,283.99999999999983,201.99999999999994,False,True,False,2,True
2004-W38,Tuesday,1,Thursday,3,173.00000000000094,-82.99999999999974,True,False,False,2,False
2004-W39,Friday,4,Monday,0,236.00000000000065,83.00000000000196,False,True,False,4,True
2004-W40,Thursday,3,Monday,0,194.99999999999852,122.99999999999977,False,True,False,3,True
2004-W41,Friday,4,Wednesday,2,183.99999999999972,19.000000000000128,False,True,False,2,True
2004-W42,Friday,4,Wednesday,2,278.9999999999981,51.000000000001044,False,True,False,2,True
2004-W43,Friday,4,Tuesday,1,228.9999999999992,196.00000000000063,False,True,False,3,True
2004-W44,Tuesday,1,Thursday,3,210.99999999999898,94.99999999999842,True,False,False,2,True
2004-W45,Friday,4,Wednesday,2,313.99999999999875,165.9999999999995,False,True,False,2,True
2004-W46,Wednesday,2,Wednesday,2,156.00000000000057,17.000000000000348,False,False,True,0,True
2004-W47,Thursday,3,Monday,0,156.00000000000057,42.9999999999997,False,True,False,3,True
2004-W48,Friday,4,Tuesday,1,351.999999999999,252.99999999999878,False,True,False,3,True
2004-W49,Friday,4,Monday,0,230.0000000000013,184.9999999999996,False,True,False,4,True
2004-W50,Tuesday,1,Friday,4,326.9999999999995,-219.0000000000003,True,False,False,3,False
2004-W51,Wednesday,2,Monday,0,254.00000000000088,113.99999999999855,False,True,False,2,True
2004-W52,Friday,4,Monday,0,249.99999999999912,199.00000000000028,False,True,False,4,True
2004-W53,Thursday,3,Friday,4,153.0000000000009,23.999999999999577,True,False,False,1,True
2005-W01,Monday,0,Friday,4,547.9999999999995,-502.0000000000002,True,False,False,4,False
2005-W02,Wednesday,2,Monday,0,241.0000000000001,47.999999999999154,False,True,False,2,True
2005-W03,Monday,0,Thursday,3,204.99999999999963,-62.99999999999972,True,False,False,3,False
2005-W04,Thursday,3,Tuesday,1,178.00000000000037,0.0,False,True,False,2,False
2005-W05,Wednesday,2,Friday,4,224.99999999999966,-162.9999999999998,True,False,False,2,False
2005-W06,Thursday,3,Monday,0,173.9999999999986,47.000000000001485,False,True,False,3,True
2005-W07,Thursday,3,Monday,0,210.99999999999898,169.99999999999903,False,True,False,3,True
2005-W08,Wednesday,2,Monday,0,240.9999999999979,201.00000000000006,False,True,False,2,True
2005-W09,Monday,0,Wednesday,2,191.00000000000117,-0.9999999999998899,True,False,False,2,False
2005-W10,Friday,4,Monday,0,300.0000000000003,216.9999999999983,False,True,False,4,True
2005-W11,Monday,0,Friday,4,211.0000000000012,-143.9999999999997,True,False,False,4,False
2005-W12,Monday,0,Friday,4,387.00000000000176,-351.999999999999,True,False,False,4,False
2005-W13,Friday,4,Monday,0,199.00000000000028,-49.000000000001265,False,True,False,4,False
2005-W14,Thursday,3,Tuesday,1,139.00000000000023,37.99999999999804,False,True,False,2,True
2005-W15,Tuesday,1,Thursday,3,247.00000000000165,-11.999999999998678,True,False,False,2,False
2005-W16,Thursday,3,Monday,0,246.99999999999943,149.99999999999903,False,True,False,3,True
2005-W17,Monday,0,Friday,4,214.99999999999852,-198.0000000000004,True,False,False,4,False
2005-W18,Thursday,3,Friday,4,178.99999999999804,-44.99999999999949,True,False,False,1,False
2005-W19,Wednesday,2,Friday,4,300.99999999999795,-192.00000000000105,True,False,False,2,False
2005-W20,Wednesday,2,Friday,4,154.99999999999847,-63.999999999999616,True,False,False,2,False
