day,day_prob,hour,hotw_count,hotw_pct,lotw_count,lotw_pct,total_hotw,total_lotw
Thursday,32.63315828957239,14,7,2.904564315352697,10,5.154639175257732,241,194
Thursday,32.63315828957239,15,5,2.074688796680498,2,1.0309278350515463,241,194
Thursday,32.63315828957239,16,4,1.6597510373443984,2,1.0309278350515463,241,194
Thursday,32.63315828957239,17,0,0.0,3,1.5463917525773196,241,194
Thursday,32.63315828957239,18,4,1.6597510373443984,1,0.5154639175257731,241,194
Thursday,32.63315828957239,19,5,2.074688796680498,2,1.0309278350515463,241,194
Thursday,32.63315828957239,20,3,1.2448132780082988,3,1.5463917525773196,241,194
Thursday,32.63315828957239,21,6,2.4896265560165975,7,3.6082474226804124,241,194
Thursday,32.63315828957239,22,4,1.6597510373443984,1,0.5154639175257731,241,194
Thursday,32.63315828957239,23,6,2.4896265560165975,2,1.0309278350515463,241,194
Friday,56.78919729932483,0,3,0.8064516129032258,2,0.5194805194805194,372,385
Friday,56.78919729932483,1,8,2.150537634408602,3,0.7792207792207793,372,385
Friday,56.78919729932483,2,14,3.763440860215054,10,2.5974025974025974,372,385
Friday,56.78919729932483,3,11,2.956989247311828,17,4.415584415584416,372,385
Friday,56.78919729932483,4,20,5.376344086021505,10,2.5974025974025974,372,385
Friday,56.78919729932483,5,19,5.10752688172043,9,2.3376623376623376,372,385
Friday,56.78919729932483,6,10,2.6881720430107525,14,3.6363636363636362,372,385
Friday,56.78919729932483,7,10,2.6881720430107525,11,2.857142857142857,372,385
Friday,56.78919729932483,8,45,12.096774193548388,51,13.246753246753247,372,385
Friday,56.78919729932483,9,29,7.795698924731183,36,9.35064935064935,372,385
Friday,56.78919729932483,10,46,12.365591397849462,36,9.35064935064935,372,385
Friday,56.78919729932483,11,22,5.913978494623656,41,10.64935064935065,372,385
Friday,56.78919729932483,12,22,5.913978494623656,28,7.2727272727272725,372,385
Friday,56.78919729932483,13,16,4.301075268817204,23,5.974025974025974,372,385
Friday,56.78919729932483,14,20,5.376344086021505,24,6.233766233766234,372,385
Friday,56.78919729932483,15,18,4.838709677419355,12,3.116883116883117,372,385
Friday,56.78919729932483,16,36,9.67741935483871,29,7.532467532467533,372,385
Friday,56.78919729932483,17,7,1.881720430107527,2,0.5194805194805194,372,385
Friday,56.78919729932483,18,1,0.26881720430107525,4,1.0389610389610389,372,385
Friday,56.78919729932483,19,2,0.5376344086021505,4,1.0389610389610389,372,385
Friday,56.78919729932483,20,4,1.075268817204301,4,1.0389610389610389,372,385
Friday,56.78919729932483,21,4,1.075268817204301,8,2.0779220779220777,372,385
Friday,56.78919729932483,22,2,0.5376344086021505,5,1.2987012987012987,372,385
Friday,56.78919729932483,23,3,0.8064516129032258,2,0.5194805194805194,372,385
