week_key,open,high,low,close,range_pips,weekly_range_pips,weekly_return_pips
2007-W24,1.336,1.342,1.3264,1.3415,290.99999999999903,156.00000000000057,54.99999999999838
2007-W25,1.3416,1.3475,1.3374,1.3464,252.99999999999878,100.99999999999997,48.00000000000138
2007-W26,1.3465,1.3641,1.3417,1.3625,370.0000000000059,224.000000000002,160.00000000000014
2007-W27,1.3624,1.3661,1.3569,1.3628,257.99999999999824,92.00000000000097,3.9999999999995595
2007-W28,1.3627,1.3815,1.3595,1.3775,363.0,220.0000000000002,147.99999999999923
2007-W29,1.3776,1.3847,1.3754,1.3807,283.00000000000216,93.00000000000085,31.000000000001027
2007-W30,1.3809,1.3853,1.361,1.3697,489.00000000000165,242.9999999999999,-112.000000000001
2007-W31,1.3698,1.3842,1.3639,1.3795,372.00000000000125,203.00000000000207,97.00000000000043
2007-W32,1.3794,1.3826,1.3605,1.3616,513.9999999999989,221.00000000000009,-178.00000000000037
2007-W33,1.3615,1.3627,1.3362,1.3477,509.9999999999994,264.99999999999966,-138.00000000000034
2007-W34,1.3478,1.3689,1.3451,1.3649,400.00000000000256,238.00000000000043,170.99999999999892
2007-W35,1.3647,1.372,1.3565,1.3626,426.00000000000193,155.00000000000068,-20.999999999999908
2007-W36,1.3625,1.3818,1.3553,1.3804,433.99999999999886,264.99999999999966,179.00000000000028
2007-W37,1.3803,1.393,1.378,1.387,316.9999999999984,150.00000000000125,66.99999999999929
2007-W38,1.3871,1.4132,1.3829,1.4089,493.99999999999886,302.99999999999994,218.00000000000043
2007-W39,1.4088,1.4283,1.4063,1.4234,415.9999999999942,219.99999999999798,145.99999999999946
2007-W40,1.4233,1.424,1.4035,1.4051,537.9999999999985,204.99999999999963,-181.99999999999994
2007-W41,1.4052,1.4245,1.4018,1.4205,426.00000000000193,227.00000000000165,153.0000000000009
2007-W42,1.4208,1.4351,1.4127,1.4182,565.9999999999998,223.99999999999974,-26.000000000001577
2007-W43,1.4181,1.4441,1.4172,1.4426,425.9999999999975,268.99999999999926,245.00000000000188
2007-W44,1.4425,1.4531,1.4376,1.4472,435.0000000000032,155.00000000000068,47.000000000001485
2007-W45,1.4471,1.4754,1.4469,1.4535,643.999999999998,284.9999999999997,63.999999999999616
2007-W46,1.4534,1.4726,1.4521,1.4665,491.0000000000014,204.99999999999963,130.9999999999989
2007-W47,1.4666,1.497,1.4638,1.4874,629.000000000004,332.0000000000012,208.0000000000015
2007-W48,1.4873,1.4911,1.4622,1.4668,611.9999999999992,289.0000000000015,-204.99999999999963
2007-W49,1.4667,1.4773,1.4529,1.4713,604.0000000000023,243.99999999999977,46.00000000000159
2007-W50,1.4714,1.4751,1.4331,1.4403,738.0000000000009,420.0000000000004,-311.00000000000125
2007-W51,1.4402,1.4437,1.4311,1.4397,393.9999999999966,125.99999999999945,-4.999999999999449
2007-W52,1.4417,1.475,1.4415,1.459,575.9999999999987,335.00000000000085,173.00000000000094
2008-W01,1.4621,1.4827,1.4597,1.4698,477.9999999999984,229.9999999999991,77.0000000000004
2008-W02,1.4697,1.4916,1.4642,1.4871,521.0000000000025,274.0000000000009,174.00000000000082
2008-W03,1.4872,1.4924,1.4424,1.4456,785.0000000000001,500.00000000000045,-416.0000000000008
2008-W04,1.4455,1.48,1.4367,1.4782,891.9999999999973,432.9999999999989,326.9999999999995
2008-W05,1.4784,1.495,1.474,1.4832,537.0000000000031,210.0000000000013,48.00000000000138
2008-W06,1.4833,1.4837,1.4439,1.4519,695.0000000000034,398.00000000000057,-314.00000000000097
2008-W07,1.452,1.471,1.4498,1.4658,444.99999999999983,212.00000000000108,138.00000000000034
2008-W08,1.4657,1.4863,1.4617,1.4832,490.9999999999992,245.99999999999955,175.0000000000007
2008-W09,1.4831,1.5276,1.4781,1.5204,748.9999999999997,495.000000000001,372.99999999999886
2008-W10,1.5203,1.5463,1.5148,1.5345,606.9999999999975,315.00000000000085,141.99999999999991
2008-W11,1.5346,1.5906,1.5285,1.5732,960.9999999999962,621.0000000000005,385.99999999999966
2008-W12,1.5731,1.5834,1.5344,1.5425,850.9999999999995,489.9999999999993,-305.9999999999996
2008-W13,1.5424,1.5897,1.541,1.5789,879.0000000000009,486.99999999999966,364.9999999999998
2008-W14,1.579,1.579,1.5511,1.5713,824.0000000000025,279.00000000000034,-77.0000000000004
2008-W15,1.5714,1.5917,1.5672,1.5832,830.0000000000018,244.99999999999966,118.00000000000033
2008-W16,1.5831,1.5986,1.5714,1.5914,882.0000000000027,272.00000000000114,82.99999999999974
2008-W17,1.5915,1.602,1.5556,1.5657,841.0000000000007,463.99999999999994,-257.99999999999824
2008-W18,1.5658,1.5665,1.5362,1.5498,700.0000000000006,302.99999999999994,-160.00000000000014
2008-W19,1.5499,1.5595,1.5286,1.5555,774.0000000000014,309.0000000000015,56.0000000000005
2008-W20,1.5554,1.5635,1.5398,1.5513,664.9999999999978,236.99999999999832,-40.99999999999993
2008-W21,1.5516,1.5815,1.5505,1.5772,608.9999999999973,309.99999999999915,255.99999999999847
2008-W22,1.5773,1.582,1.5463,1.5538,677.0000000000009,357.0000000000006,-234.99999999999855
2008-W23,1.554,1.5846,1.5366,1.5648,947.0,480.00000000000045,107.9999999999992
2008-W24,1.5648,1.5655,1.5305,1.5479,891.9999999999994,349.9999999999992,-168.99999999999915
2008-W25,1.5478,1.5653,1.5462,1.552,610.9999999999993,190.99999999999895,41.999999999999815
2008-W26,1.5519,1.5839,1.5494,1.5757,592.9999999999991,344.9999999999998,238.00000000000043
2008-W27,1.5756,1.5911,1.5614,1.5728,655.9999999999966,297.00000000000057,-27.999999999999137
2008-W28,1.5729,1.5972,1.5637,1.5909,626.9999999999998,334.99999999999864,180.00000000000017
2008-W29,1.591,1.6041,1.5787,1.5924,609.9999999999994,254.00000000000088,14.000000000000679
2008-W30,1.5923,1.5946,1.563,1.5742,574.0000000000011,316.00000000000074,-181.00000000000006
2008-W31,1.5741,1.576,1.5518,1.558,592.9999999999991,242.0,-161.00000000000003
2008-W32,1.5581,1.5581,1.4882,1.4912,981.0000000000008,699.0000000000007,-668.9999999999995
2008-W33,1.4913,1.4983,1.4659,1.4696,728.9999999999997,323.99999999999983,-217.0000000000005
2008-W34,1.4697,1.4911,1.4633,1.4756,732.0000000000016,278.00000000000045,59.00000000000016
2008-W35,1.4754,1.4813,1.4571,1.4619,743.0000000000003,242.0,-135.00000000000068
2008-W36,1.462,1.462,1.4056,1.4131,1049.0,564.0,-488.99999999999943
2008-W37,1.4128,1.4483,1.3883,1.4245,1143.9999999999961,599.9999999999983,117.00000000000044
2008-W38,1.4244,1.4869,1.4075,1.4777,1582.0000000000034,794.0000000000014,532.999999999999
2008-W39,1.4779,1.4827,1.4304,1.4436,939.0000000000032,523.0000000000001,-343.0
2008-W40,1.4435,1.4437,1.3444,1.3501,1379.999999999999,992.9999999999994,-933.9999999999993
2008-W41,1.35,1.3787,1.3261,1.3582,1291.9999999999977,525.9999999999998,81.99999999999986
2008-W42,1.3586,1.3771,1.329,1.3345,963.0000000000027,481.00000000000034,-241.0000000000001
2008-W43,1.334,1.3359,1.2336,1.2495,1717.0000000000018,1023.0000000000006,-845.0000000000002
2008-W44,1.2494,1.3299,1.2331,1.2645,1830.0000000000027,968.0,150.99999999999892
2008-W45,1.2645,1.3118,1.2528,1.2751,1529.0000000000002,590.0000000000016,105.99999999999943
2008-W46,1.2752,1.2858,1.239,1.2652,1411.0,467.99999999999955,-99.99999999999787
2008-W47,1.2653,1.2957,1.2425,1.2956,1226.000000000005,532.0000000000014,302.99999999999994
2008-W48,1.2955,1.3083,1.2584,1.2613,1082.0000000000007,499.00000000000057,-342.00000000000006
2008-W49,1.2611,1.2969,1.2551,1.2965,1061.9999999999986,417.99999999999835,353.99999999999875
2008-W50,1.2961,1.3724,1.2801,1.369,1290.0,923.0000000000005,728.9999999999997
