week_key,open,high,low,close,weekly_range_pips,weekly_return_pips
2017-W09,1.05609,1.06305,1.04949,1.06205,135.60000000000016,59.59999999999965
2017-W10,1.06067,1.06992,1.0525,1.06731,174.1999999999999,66.39999999999979
2017-W11,1.06759,1.07824,1.06,1.07374,182.40000000000035,61.49999999999878
2017-W12,1.07314,1.08247,1.0719,1.0798,105.69999999999968,66.6000000000011
2017-W13,1.0836,1.09061,1.065,1.06522,256.10000000000133,-183.79999999999842
2017-W14,1.06611,1.06889,1.05805,1.05821,108.39999999999961,-78.99999999999795
2017-W15,1.05855,1.06776,1.05697,1.06104,107.90000000000077,24.899999999998812
2017-W16,1.06149,1.07773,1.06024,1.07238,174.90000000000006,108.90000000000066
2017-W17,1.09169,1.09507,1.08206,1.08926,130.09999999999965,-24.300000000001543
2017-W18,1.09097,1.09997,1.08748,1.09985,124.8999999999989,88.79999999999998
2017-W19,1.10173,1.10211,1.08391,1.09292,181.99999999999994,-88.10000000000207
2017-W20,1.09286,1.12119,1.09225,1.12063,289.39999999999964,277.7000000000007
2017-W21,1.11932,1.12682,1.11605,1.11809,107.69999999999946,-12.300000000000644
2017-W22,1.11716,1.1285,1.11096,1.12809,175.4000000000011,109.30000000000106
2017-W23,1.12704,1.12837,1.11663,1.11941,117.40000000000083,-76.30000000000025
2017-W24,1.12058,1.12957,1.11319,1.11948,163.8000000000006,-10.999999999998789
2017-W25,1.12072,1.12127,1.11187,1.11926,94.00000000000075,-14.600000000000168
2017-W26,1.11979,1.14453,1.11717,1.14257,273.60000000000053,227.80000000000024
2017-W27,1.14168,1.14399,1.13122,1.13982,127.7000000000017,-18.599999999999728
2017-W28,1.13976,1.14893,1.13705,1.14681,118.80000000000112,70.5
2017-W29,1.14705,1.16829,1.14346,1.16597,248.3000000000013,189.20000000000047
2017-W30,1.1663,1.17765,1.16129,1.1747,163.60000000000153,84.00000000000185
2017-W31,1.17457,1.19101,1.1723,1.17716,187.10000000000005,25.900000000000922
2017-W32,1.17712,1.18468,1.16888,1.18197,158.00000000000037,48.50000000000021
2017-W33,1.18207,1.18382,1.1662,1.17574,176.20000000000192,-63.29999999999947
2017-W34,1.17549,1.19413,1.17312,1.19213,210.09999999999974,166.3999999999999
2017-W35,1.19422,1.207,1.1823,1.18602,247.00000000000165,-81.99999999999986
